,City,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
581,castelldefels,41.2779,1.9703,13.58,88.0,20.0,1.51
582,port elizabeth,-33.918,25.5701,16.0,88.0,75.0,3.6
583,ponta do sol,32.6667,-17.1,12.56,82.0,100.0,0.89
586,merauke,-8.4667,140.3333,27.62,78.0,49.0,1.28
589,airai,-8.9266,125.4092,19.81,42.0,31.0,0.76
593,puerto baquerizo moreno,-0.9,-89.6,24.42,85.0,22.0,4.63
595,plettenberg bay,-34.0527,23.3716,15.45,84.0,99.0,0.16
596,mithi,24.7318,69.7981,24.67,75.0,2.0,4.46
598,anloga,5.7947,0.8973,28.0,89.0,20.0,2.06
600,peniche,39.3558,-9.3811,13.73,86.0,29.0,2.68
601,high rock,26.6208,-78.2833,23.0,68.0,40.0,4.12
603,san lawrenz,36.0553,14.204,15.73,94.0,0.0,3.09
604,larsnes,62.2028,5.5773,2.76,79.0,23.0,4.02
605,general bravo,25.8,-99.1667,33.07,44.0,97.0,9.55
610,bayan,46.0833,127.4,12.37,23.0,69.0,5.67
613,douglas,41.3,-96.167,16.88,63.0,1.0,5.66
618,vila velha,-20.3297,-40.2925,25.0,83.0,90.0,2.57
625,berezovyy,51.6667,135.7,7.73,70.0,100.0,2.9
627,pandan,14.0453,124.1694,27.21,64.0,100.0,3.39
631,barabinsk,55.3571,78.357,7.45,98.0,100.0,4.46
632,campo verde,-20.4167,-54.0667,19.0,59.0,0.0,3.09
636,sovetskiy,61.3614,63.5842,0.16,85.0,4.0,1.64
638,kasempa,-13.4584,25.8338,17.77,90.0,95.0,1.48
639,rudnogorsk,57.2639,103.7519,-3.01,70.0,20.0,1.51
642,rognan,67.0953,15.3878,-0.73,91.0,97.0,0.7
643,huambo,-12.7761,15.7392,17.77,65.0,99.0,1.11
644,puerto narino,-3.7703,-70.3831,25.0,100.0,75.0,0.29
647,krasnoyarskiy,51.965,59.8967,4.76,86.0,64.0,3.46
649,mackay,-21.15,149.2,22.91,73.0,75.0,5.66
650,victoria,22.2855,114.1577,23.44,88.0,98.0,2.9
653,kremenki,54.885,37.1261,1.38,86.0,93.0,2.0
655,zhigansk,66.7697,123.3711,-9.39,84.0,18.0,2.22
656,shizilu,35.1711,118.8289,15.18,49.0,100.0,3.01
658,skibbereen,51.55,-9.2667,7.0,81.0,40.0,5.66
662,kristianstad,56.0313,14.1524,-0.46,86.0,20.0,1.1
664,nuuk,64.1835,-51.7216,0.78,93.0,19.0,6.17
666,trelleborg,55.3751,13.1569,1.13,93.0,0.0,2.06
668,maine-soroa,13.2114,12.0241,29.71,12.0,77.0,4.7
669,jesus del monte,19.1081,-99.9944,24.0,23.0,75.0,5.14
671,knysna,-34.0363,23.0471,14.0,100.0,90.0,1.03
673,sibolga,1.7427,98.7792,24.61,86.0,100.0,1.16
674,riyadh,24.6877,46.7219,28.63,20.0,40.0,6.17
678,chkalovskoye,44.8392,133.0436,9.69,88.0,100.0,5.38
679,bay roberts,47.5999,-53.2648,6.07,85.0,100.0,0.45
680,jiexiu,37.0244,111.9125,12.13,19.0,21.0,4.35
684,bartica,6.4,-58.6167,25.0,94.0,75.0,2.06
685,portales,34.1862,-103.3344,24.02,9.0,20.0,10.29
687,yelizovo,53.1873,158.3805,6.0,87.0,40.0,5.0
688,birjand,32.8663,59.2211,19.0,27.0,40.0,4.12
690,lluta,-16.0147,-72.0142,13.0,33.0,0.0,2.06
695,filadelfia,39.9523,-75.1638,20.98,46.0,75.0,2.06
696,belaya gora,68.5333,146.4167,-2.11,92.0,100.0,0.54
697,nago,26.5881,127.9761,22.56,68.0,20.0,5.66
703,pahrump,36.2083,-115.9839,18.89,22.0,98.0,0.89
710,ankazoabo,-22.2833,44.5167,19.83,83.0,0.0,1.47
711,benoy,8.9833,16.3199,27.73,55.0,84.0,3.29
713,correntina,-13.3433,-44.6367,23.31,75.0,88.0,0.92
725,krasne,49.9145,24.6134,2.89,56.0,0.0,3.0
727,wani,20.0667,78.95,30.72,19.0,69.0,2.39
731,kudahuvadhoo,2.6708,72.8944,27.7,75.0,85.0,2.64
733,walvis bay,-22.9575,14.5053,14.73,88.0,0.0,3.09
738,carballo,43.213,-8.691,10.86,86.0,97.0,1.34
741,tabou,4.423,-7.3528,26.28,87.0,92.0,2.37
745,clifton,40.8584,-74.1638,15.0,47.0,1.0,2.1
746,coahuayana,18.7333,-103.6833,28.0,51.0,40.0,5.14
750,kinsale,51.7075,-8.5306,6.84,81.0,40.0,5.66
756,tezu,27.9167,96.1667,25.57,33.0,87.0,1.11
760,praia da vitoria,38.7333,-27.0667,15.0,88.0,75.0,4.39
762,terekli-mekteb,44.1671,45.8698,10.06,73.0,64.0,2.39
765,peterhead,57.5058,-1.7981,5.18,93.0,75.0,1.54
768,nguru,12.8791,10.4526,30.29,12.0,25.0,4.87
769,wanning,18.8003,110.3967,25.07,87.0,53.0,1.11
773,pembroke,45.8168,-77.1162,11.0,46.0,90.0,1.04
774,booue,-0.0921,11.9385,23.92,96.0,100.0,0.92
777,hambantota,6.1241,81.1185,25.0,100.0,20.0,1.03
781,kijang,35.2442,129.2139,20.0,49.0,0.0,1.54
783,anjad,22.0333,75.05,28.55,35.0,17.0,2.46
784,urumqi,43.801,87.6005,14.0,33.0,0.0,1.0
786,bredasdorp,-34.5322,20.0403,9.0,93.0,100.0,0.47
788,aviles,43.5547,-5.9248,12.76,87.0,90.0,1.54
790,teguldet,57.3064,88.1667,3.66,92.0,65.0,1.42
791,kipini,-2.5257,40.5262,27.05,80.0,79.0,5.4
795,stephenville,32.2207,-98.2023,23.19,83.0,90.0,5.66
796,asfi,32.2994,-9.2372,17.07,84.0,19.0,1.53
798,rawson,-43.3002,-65.1023,19.14,37.0,90.0,4.73
803,lakes entrance,-37.8811,147.981,16.67,73.0,92.0,0.45
810,dikson,73.5069,80.5464,-0.06,97.0,100.0,7.87
812,kiunga,-6.1219,141.2906,27.61,79.0,99.0,1.33
814,aklavik,68.2191,-135.0107,-1.48,34.0,2.0,2.57
817,krasnystaw,50.9846,23.1742,-1.06,80.0,0.0,0.51
818,vanimo,-2.6741,141.3028,28.95,71.0,17.0,0.92
820,malinovoye ozero,51.6753,79.7825,16.45,33.0,97.0,5.97
825,tuyen quang,21.8233,105.2181,21.59,94.0,100.0,0.84
829,hamilton,39.1834,-84.5333,23.87,41.0,1.0,3.6
832,tuktoyaktuk,69.4541,-133.0374,-8.0,67.0,20.0,4.12
833,port blair,11.6667,92.75,27.15,71.0,72.0,1.98
838,mogadishu,2.0371,45.3438,28.25,76.0,70.0,4.85
840,lahij,13.1667,44.5833,25.44,79.0,54.0,3.56
843,marawi,7.9986,124.2928,27.78,77.0,27.0,1.34
844,grand gaube,-20.0064,57.6608,25.0,85.0,100.0,3.58
845,cap-aux-meules,47.3821,-61.8597,3.0,100.0,100.0,3.27
847,umm lajj,25.0213,37.2685,24.93,64.0,0.0,3.56
851,rantepao,-2.9701,119.8978,22.27,88.0,56.0,0.58
853,mount barker,-35.0667,138.8667,16.72,90.0,99.0,0.81
857,shizunai,42.3339,142.3669,8.8,58.0,84.0,2.76
860,sembe,1.6481,14.5806,22.29,96.0,93.0,0.97
862,nehalim,32.0619,34.9139,14.44,88.0,20.0,2.57
864,imbituba,-28.24,-48.6703,20.0,64.0,40.0,3.09
867,tagusao,9.1924,117.8141,27.54,78.0,61.0,2.47
872,letlhakeng,-24.0944,25.0298,17.09,25.0,0.0,2.0
874,kajaani,64.2273,27.7285,-3.0,100.0,0.0,0.51
875,thunder bay,48.4001,-89.3168,6.03,81.0,75.0,2.06
876,ugoofaaru,5.6667,73.0,28.52,74.0,91.0,2.93
879,nacala,-14.5428,40.6728,23.48,94.0,15.0,1.82
881,anchorage,61.2181,-149.9003,14.99,23.0,1.0,3.6
883,marsa matruh,31.3525,27.2453,16.0,51.0,0.0,2.06
892,mahajanga,-15.7167,46.3167,24.0,100.0,20.0,2.06
893,kargasok,59.0556,80.8572,3.08,94.0,83.0,1.24
895,bandarbeyla,9.4942,50.8122,28.31,74.0,100.0,1.97
896,ambanja,-13.6833,48.45,23.02,92.0,72.0,1.58
899,bodden town,19.2833,-81.25,27.65,74.0,20.0,3.6
901,kavaratti,10.5669,72.642,28.87,71.0,2.0,1.95
902,erzin,36.9559,36.2,17.22,89.0,59.0,0.96
903,ahero,-0.1746,34.9163,21.0,83.0,75.0,2.57
905,zelenoborskiy,66.845,32.3622,-5.0,100.0,78.0,1.54
906,harper,4.375,-7.7169,26.21,87.0,96.0,2.25
911,azad shahr,34.7909,48.5707,14.47,48.0,96.0,3.02
914,lokoja,7.8024,6.743,26.44,83.0,100.0,2.24
916,nizhniy kuranakh,58.8353,125.4869,-6.4,92.0,100.0,4.05
917,luena,-11.7833,19.9167,15.79,92.0,31.0,0.49
919,nanyang,32.9947,112.5328,16.14,69.0,100.0,0.59
922,acajutla,13.5928,-89.8275,23.33,96.0,100.0,1.79
924,zhanakorgan,43.9098,67.2495,20.59,19.0,0.0,1.37
928,vanavara,60.34,102.2797,-2.24,69.0,17.0,1.28
929,coruripe,-10.1256,-36.1756,25.29,84.0,11.0,2.97
933,patan,27.6667,85.3333,16.0,63.0,20.0,1.54
935,san rafael del sur,11.8485,-86.4384,31.0,55.0,75.0,3.09
938,fort nelson,58.8053,-122.7002,-7.0,68.0,90.0,1.03
942,dicabisagan,17.0818,122.4157,24.97,75.0,87.0,1.67
943,batticaloa,7.7102,81.6924,26.39,81.0,68.0,2.67
947,najran,17.4924,44.1277,22.0,73.0,40.0,2.06
948,cururupu,-1.8283,-44.8683,24.12,91.0,86.0,1.18
950,hay river,60.8156,-115.7999,-8.51,48.0,81.0,3.09
953,mount gambier,-37.8333,140.7667,12.0,100.0,90.0,2.57
955,yeniseysk,58.4497,92.1703,1.21,96.0,50.0,2.35
957,bulolo,-7.2,146.65,28.26,65.0,74.0,1.07
962,leh,34.1667,77.5833,-0.06,38.0,51.0,0.96
963,lashio,22.9333,97.75,21.15,60.0,8.0,0.24
964,narrabri,-30.3167,149.7833,19.78,52.0,47.0,2.57
965,phan thiet,10.9333,108.1,26.67,80.0,100.0,2.67
968,upernavik,72.7868,-56.1549,-1.77,90.0,62.0,5.55
969,san patricio,28.017,-97.5169,25.0,88.0,90.0,8.23
972,saskylakh,71.9167,114.0833,-2.86,88.0,99.0,4.96
975,weyburn,49.6668,-103.8511,18.0,17.0,21.0,2.06
983,algiers,36.7525,3.042,14.0,82.0,0.0,1.54
988,nouadhibou,20.931,-17.0347,19.0,88.0,0.0,4.12
990,malacacheta,-17.8422,-42.0767,19.41,84.0,80.0,0.75
993,bontang,0.1333,117.5,25.23,91.0,88.0,1.77
994,auki,-8.7676,160.7034,29.29,67.0,99.0,2.62
996,tungor,53.3808,142.9564,0.11,70.0,46.0,7.11
1006,port macquarie,-31.4333,152.9167,21.66,65.0,51.0,0.45
1017,pacific grove,36.6177,-121.9166,15.22,48.0,1.0,5.14
1018,monrovia,6.3005,-10.7969,23.0,94.0,75.0,2.57
1023,karwar,14.8,74.1333,26.5,84.0,1.0,1.09
1027,vawkavysk,53.1561,24.4513,-0.16,93.0,13.0,1.66
1030,roblin,51.23,-101.3565,9.75,63.0,45.0,5.14
1031,san quintin,30.4833,-115.95,15.36,69.0,82.0,6.97
1033,homer,59.6425,-151.5483,8.19,57.0,1.0,6.17
1048,the valley,18.217,-63.0578,24.81,83.0,75.0,4.63
1050,stulovo,58.7225,50.1439,3.15,93.0,100.0,1.76
1051,adrar,20.5022,-10.0711,28.37,17.0,40.0,5.66
1053,babstovo,48.1167,132.4833,9.68,92.0,100.0,2.27
1054,avera,33.194,-82.5271,22.55,57.0,1.0,2.73
1060,kenai,60.5544,-151.2583,15.4,26.0,1.0,5.66
1061,venezuela,8.0,-66.0,32.01,42.0,100.0,2.12
1062,maple creek,49.9168,-109.4848,15.52,17.0,45.0,2.06
1065,margate,51.3813,1.3862,6.24,83.0,7.0,0.89
1067,san juan,-31.5375,-68.5364,21.1,38.0,0.0,3.79
1068,byron bay,-28.65,153.6167,18.72,77.0,90.0,5.14
1073,mandapam,9.2833,79.1167,29.69,73.0,57.0,6.84
1082,thyolo,-16.0678,35.1405,17.5,89.0,6.0,1.67
1083,broome,42.2506,-75.833,17.38,37.0,1.0,2.06
1086,chicama,-7.8447,-79.1469,18.0,88.0,40.0,4.12
1087,nikolskoye,59.7035,30.7861,1.24,75.0,75.0,1.0
1091,vaitape,-16.5167,-151.75,27.68,72.0,35.0,4.82
1092,lulea,65.5842,22.1547,-3.0,74.0,20.0,2.57
1097,port-gentil,-0.7193,8.7815,27.0,89.0,40.0,1.54
1098,emerald,-23.5333,148.1667,23.14,43.0,0.0,3.09
1099,santa cruz,-17.8,-63.1667,20.43,60.0,20.0,2.06
1101,santa comba,43.0331,-8.8093,11.48,60.0,95.0,3.58
1102,kasongo-lunda,-6.4667,16.8167,21.52,96.0,100.0,0.44
1106,ajdabiya,30.7554,20.2263,24.29,18.0,0.0,6.27
1107,dudinka,69.4058,86.1778,0.11,97.0,100.0,6.22
1108,qaqortoq,60.7167,-46.0333,5.0,65.0,1.0,1.54
1110,tautira,-17.7333,-149.15,30.0,66.0,75.0,4.63
1111,kilis,36.7161,37.115,18.0,48.0,0.0,0.51
1113,brokopondo,4.75,-55.1667,23.69,92.0,100.0,2.16
1114,sorland,67.667,12.6934,2.55,65.0,89.0,6.16
1115,kyzyl-suu,42.3414,78.0056,9.36,40.0,1.0,4.57
1119,fare,-16.7,-151.0167,27.38,71.0,36.0,3.84
1120,truro,50.2653,-5.0544,8.0,87.0,20.0,2.06
1122,kirakira,-10.4544,161.9205,29.07,67.0,85.0,1.27
1125,gushikawa,26.3544,127.8686,22.54,68.0,20.0,5.66
1134,am timan,11.0297,20.2827,30.64,28.0,59.0,0.88
1142,buseresere,-3.0236,31.8747,17.45,95.0,71.0,1.7
1149,huilong,31.8111,121.655,18.33,84.0,1.0,0.88
1155,kalmunai,7.4167,81.8167,25.79,82.0,81.0,2.31
1156,namie,37.4833,141.0,20.0,49.0,76.0,2.02
1158,diamantina,-18.2494,-43.6003,16.16,95.0,88.0,0.87
1159,medyn,54.9692,35.8586,1.0,86.0,64.0,2.0
1162,launceston,-41.45,147.1667,11.31,93.0,90.0,3.6
1163,manyana,-23.4,21.7167,20.03,31.0,71.0,2.72
1165,makat,47.6469,53.3463,8.47,73.0,40.0,3.03
1166,esmeralda,21.8525,-78.1169,27.0,65.0,20.0,5.66
1167,collie,-33.3667,116.15,13.33,92.0,51.0,0.73
1173,puerto escondido,15.85,-97.0667,29.0,70.0,1.0,2.06
1175,hofn,64.2539,-15.2082,5.51,62.0,5.0,5.64
1176,tambo,-14.8,-73.9167,1.38,86.0,94.0,0.61
1186,koshurnikovo,54.1667,93.3,1.26,99.0,100.0,1.14
1188,inuvik,68.3499,-133.7218,-1.49,34.0,3.0,2.57
1189,onega,63.9061,38.1404,-1.68,78.0,99.0,2.3
1196,la poza,20.1167,-96.9667,29.7,64.0,30.0,3.66
1197,denpasar,-8.65,115.2167,28.0,74.0,20.0,3.09
1200,sidhi,24.4167,81.8833,26.28,8.0,0.0,2.01
1207,kokoda,-8.8785,147.7407,28.74,74.0,88.0,1.69
1211,dali,25.7,100.1833,16.24,44.0,0.0,1.46
1213,qingdao,36.0986,120.3719,17.0,55.0,100.0,3.0
1216,utinga,-5.8172,-35.3954,26.42,83.0,40.0,1.54
1219,soyo,-6.1349,12.3689,25.57,86.0,100.0,1.6
1220,corinto,37.9407,22.9573,12.69,82.0,20.0,0.6
1222,taoudenni,22.6783,-3.9836,33.24,15.0,44.0,4.4
1224,bagdarin,54.4333,113.6,-5.55,51.0,100.0,3.94
1227,celestun,20.8667,-90.4,30.53,58.0,4.0,8.06
1229,gorontalo,0.5412,123.0595,28.03,72.0,7.0,0.63
1234,ntungamo,-0.8833,29.65,17.25,94.0,72.0,1.54
1236,uba,-21.12,-42.9428,19.8,92.0,24.0,0.55
1237,penzance,50.1186,-5.5371,7.25,93.0,75.0,4.59
1240,jinchang,38.4953,102.1739,8.36,21.0,8.0,4.08
1242,shingu,33.7333,135.9833,18.0,77.0,75.0,6.17
1245,karratha,-20.7377,116.8463,25.75,24.0,0.0,5.73
1246,svetlyy,54.675,20.1347,0.28,93.0,20.0,2.0
1248,gizo,-8.103,156.8419,27.82,74.0,97.0,3.69
1249,pascagoula,30.3658,-88.5561,23.74,73.0,20.0,3.09
1250,gagino,55.2314,45.0339,1.25,80.0,31.0,6.37
1253,mingyue,43.1069,128.9217,11.59,46.0,48.0,5.78
1254,portmore,17.9702,-76.8672,27.12,58.0,20.0,5.66
1256,mitchell,43.7094,-98.0298,15.76,55.0,20.0,6.17
1260,axim,4.8699,-2.2405,27.51,85.0,85.0,3.73
1263,morros,-9.4467,-46.3003,23.21,80.0,92.0,0.63
1277,saint-pierre,-21.3393,55.4781,22.15,78.0,90.0,3.09
1279,abnub,27.2696,31.1511,19.0,59.0,0.0,5.66
1285,salinopolis,-0.6136,-47.3561,26.27,80.0,99.0,3.88
1287,albury,-36.0833,146.9167,15.57,77.0,14.0,0.51
1291,celendin,-6.8703,-78.1517,13.21,86.0,100.0,1.71
1293,san isidro,-12.1167,-77.05,18.05,88.0,40.0,3.6
1296,cumbernauld,55.9469,-3.9905,3.7,76.0,92.0,2.68
1300,velyka bahachka,49.7912,33.7226,1.29,79.0,48.0,2.4
1302,arlit,18.7369,7.3853,31.99,9.0,51.0,4.97
1303,neuquen,-38.9516,-68.0591,14.0,94.0,0.0,0.62
1304,yerbogachen,61.2767,108.0108,-2.99,67.0,33.0,1.0
1307,mackenzie,55.2999,-123.1698,4.0,81.0,90.0,5.66
1313,puerto colombia,10.9878,-74.9547,27.0,78.0,75.0,5.14
1318,kaili,-3.4626,120.2147,22.89,80.0,52.0,0.56
1319,japura,-0.3167,102.35,23.03,97.0,82.0,0.34
1320,chapais,49.7834,-74.8492,11.0,46.0,90.0,3.09
1321,amahai,-3.3333,128.9167,27.96,66.0,83.0,0.55
1327,duluth,46.7833,-92.1066,3.49,93.0,90.0,6.69
1329,hovd,48.0056,91.6419,6.91,35.0,100.0,2.8
1335,praia,14.9215,-23.5087,22.0,73.0,75.0,6.17
1344,winnemucca,40.973,-117.7357,13.0,26.0,20.0,2.57
1347,kalengwa,-13.4659,25.0027,16.05,92.0,45.0,1.32
1348,imphal,24.8167,93.95,19.58,51.0,0.0,1.12
1350,maridi,4.9158,29.4742,20.32,91.0,38.0,2.36
1351,muroran,42.3172,140.9881,11.0,58.0,0.0,1.54
1352,gao,16.6362,1.637,31.83,19.0,67.0,3.71
1353,davila,18.4726,120.5763,28.0,69.0,40.0,1.54
1354,zeya,53.75,127.2667,9.72,54.0,60.0,3.14
1358,barreirinha,-2.7933,-57.07,23.87,96.0,91.0,0.66
1362,zelenoborsk,61.4669,64.0333,0.14,84.0,3.0,1.69
1364,kichmengskiy gorodok,59.9816,45.7854,0.32,95.0,100.0,1.17
1365,santa maria,-29.6842,-53.8069,11.0,100.0,0.0,0.51
1369,hesla,24.0667,85.8833,26.2,11.0,0.0,2.01
1371,ambilobe,-13.2,49.05,21.78,93.0,13.0,1.43
1378,boyolangu,-8.1181,111.8935,25.39,82.0,94.0,2.94
1381,orda,57.1951,56.9091,4.1,72.0,100.0,3.51
1382,charlottetown,46.2352,-63.1267,2.86,100.0,90.0,5.14
1391,oussouye,12.485,-16.5469,21.98,88.0,0.0,5.14
1393,moa,20.6569,-74.9403,24.7,81.0,6.0,5.06
1397,ilhabela,-23.7781,-45.3581,21.25,88.0,99.0,1.28
1403,tessalit,20.1986,1.0114,31.94,13.0,12.0,1.77
1406,graham,47.0529,-122.2943,15.8,44.0,1.0,2.06
1415,glamoc,44.0458,16.8486,4.44,95.0,100.0,4.47
1417,estelle,29.8458,-90.1067,25.04,88.0,75.0,4.63
1423,odweyne,9.4092,45.064,23.87,62.0,43.0,3.11
1427,matara,5.9485,80.5353,25.86,86.0,73.0,2.31
1428,saint-francois,46.4154,3.9054,9.74,81.0,0.0,1.03
1430,pedernales,18.0384,-71.744,26.51,68.0,18.0,1.98
1439,mukhen,48.1,136.1,13.7,44.0,100.0,1.24
1441,mao,39.8885,4.2658,13.0,88.0,0.0,2.57
1443,calafat,43.9911,22.9328,11.67,81.0,100.0,5.66
1447,quelimane,-17.8786,36.8883,25.0,94.0,0.0,1.63
1453,sitrah,26.1547,50.6206,27.0,74.0,1.0,3.6
1465,lukovetskiy,64.2956,41.9211,-2.0,80.0,40.0,1.0
1466,dahuk,36.8695,42.994,16.03,60.0,0.0,2.5
1469,karlskrona,56.1616,15.5866,-2.0,100.0,90.0,2.06
1471,calabozo,8.9242,-67.4293,30.53,46.0,100.0,0.76
1473,notre-dame-du-lac,47.6136,-68.7964,8.12,66.0,83.0,2.06
1479,zyryanka,65.75,150.85,-1.83,81.0,18.0,5.97
1480,nabire,-3.3667,135.4833,27.59,81.0,45.0,1.0
1485,xuddur,4.1213,43.8894,24.48,81.0,71.0,4.32
1496,kalikino,52.9493,39.8269,1.11,77.0,6.0,3.57
1497,senanga,-16.1167,23.2667,19.62,74.0,98.0,2.05
1498,healdsburg,38.6105,-122.8692,24.45,25.0,1.0,5.66
1499,buin,-33.7333,-70.75,16.01,72.0,0.0,4.12
